episode_idx,seed,total_reward,n_steps,n_violation_steps,pf_failures,mean_step_ms,lambda,alpha,mean_qc,realised_cost,proj_infeasible_rate,proj_frozen_rate
95,2265149502,9.348942,288,23,0,30.805,1.619134,0.003000,0.330586,0.081284,0.000000,0.000000
96,481570180,18.865942,288,0,0,30.483,1.614134,0.003000,0.377380,0.000000,0.000000,0.000000
97,1734362383,9.140256,288,0,0,30.261,1.609134,0.003000,0.361096,0.000000,0.000000,0.000000
98,1403353661,20.373467,288,0,0,30.177,1.604134,0.003000,0.289970,0.000000,0.000000,0.000000
99,357872368,19.727554,288,13,0,30.363,1.647061,0.003000,0.341215,0.095853,0.000000,0.000000
100,3381907799,13.493748,288,0,0,30.649,1.642061,0.003000,0.458770,0.000000,0.000000,0.000000
101,848931792,18.720626,288,16,0,30.164,1.669057,0.003000,0.281116,0.063992,0.000000,0.000000
102,519835158,23.755030,288,26,0,30.409,1.760809,0.003000,0.359853,0.193503,0.000000,0.000000
103,1184353179,21.166932,288,0,0,30.530,1.755809,0.003000,0.421247,0.000000,0.000000,0.000000
104,2227339632,4.782603,288,5,0,30.355,1.753511,0.003000,0.281442,0.005404,0.000000,0.000000
105,236346219,13.805337,288,17,0,30.441,1.783036,0.003000,0.287295,0.069050,0.000000,0.000000
106,3776105309,29.048372,288,6,0,30.422,1.785286,0.003000,0.345032,0.014501,0.000000,0.000000
107,4190387294,31.830649,288,11,0,30.175,1.801214,0.003000,0.281886,0.041856,0.000000,0.000000
108,3646442285,12.721941,288,13,0,30.508,1.829857,0.003000,0.280834,0.067286,0.000000,0.000000
109,1427227787,17.372165,288,3,0,30.506,1.825713,0.003000,0.292117,0.001713,0.000000,0.000000
110,4143349041,14.813835,288,0,0,30.358,1.820713,0.003000,0.273192,0.000000,0.000000,0.000000
111,2990946221,11.154635,288,0,0,30.765,1.815713,0.003000,0.267985,0.000000,0.000000,0.000000
112,2119464803,16.068152,288,13,0,30.467,1.868153,0.003000,0.300191,0.114879,0.000000,0.000000
113,2530027594,27.211911,288,8,0,30.654,1.881432,0.003000,0.270044,0.036559,0.000000,0.000000
114,2485933447,22.630076,288,5,0,30.682,1.880297,0.003000,0.277815,0.007730,0.000000,0.000000
115,1316932981,15.472829,288,5,0,30.461,1.878003,0.003000,0.254002,0.005412,0.000000,0.000000
116,1718076253,20.916031,288,4,0,30.513,1.874767,0.003000,0.261612,0.003527,0.000000,0.000000
117,3591320453,23.305534,288,0,0,30.464,1.869767,0.003000,0.286539,0.000000,0.000000,0.000000
118,1369527979,23.889532,288,0,0,30.427,1.864767,0.003000,0.296523,0.000000,0.000000,0.000000
119,3266896800,22.845508,288,10,0,30.019,1.875965,0.003000,0.281734,0.032396,0.000000,0.000000
120,3880466030,14.642927,288,0,0,30.307,1.870965,0.003000,0.342221,0.000000,0.000000,0.000000
121,1504891241,20.223790,288,0,0,30.255,1.865965,0.003000,0.350657,0.000000,0.000000,0.000000
122,2400586863,30.097737,288,10,0,30.482,1.872054,0.003000,0.370140,0.022178,0.000000,0.000000
123,726257820,32.309558,288,14,0,30.361,1.880859,0.003000,0.503682,0.027612,0.000000,0.000000
124,706025789,25.031500,288,3,0,30.464,1.876618,0.003000,0.472911,0.001518,0.000000,0.000000
125,1963715115,18.339115,288,12,0,30.288,1.892683,0.003000,0.645965,0.042129,0.000000,0.000000
126,2756081373,18.615919,288,1,0,30.188,1.887734,0.003000,0.650843,0.000102,0.000000,0.000000
127,3005415594,20.350667,288,0,0,30.420,1.882734,0.003000,0.535955,0.000000,0.000000,0.000000
128,3644860423,8.177721,288,0,0,30.516,1.877734,0.003000,0.949244,0.000000,0.000000,0.000000
129,2443172991,26.402817,288,6,0,30.659,1.881178,0.003000,1.047265,0.016888,0.000000,0.000000
130,4293815651,7.876392,288,12,0,30.040,1.882024,0.003000,0.981577,0.011693,0.000000,0.000000
131,3918970858,13.185354,288,12,0,30.054,1.907484,0.003000,1.148409,0.060919,0.000000,0.000000
132,1955968864,15.486592,288,2,0,30.034,1.902675,0.003000,1.409916,0.000382,0.000000,0.000000
133,677855048,18.777473,288,2,0,30.288,1.898274,0.003000,1.488024,0.001198,0.000000,0.000000
134,538061724,24.529013,288,5,0,30.468,1.899686,0.003000,2.100834,0.012825,0.000000,0.000000
135,1854165387,6.516433,288,0,0,30.231,1.894686,0.003000,1.532103,0.000000,0.000000,0.000000
136,1573460674,4.355354,288,2,0,30.303,1.890649,0.003000,2.229961,0.001925,0.000000,0.000000
137,1793484539,14.634875,288,12,0,30.261,1.890745,0.003000,2.283490,0.010191,0.000000,0.000000
138,2419172102,15.136624,288,0,0,30.264,1.885745,0.003000,3.724871,0.000000,0.000000,0.000000
139,1482998941,21.816733,288,0,0,30.141,1.880745,0.003000,2.951899,0.000000,0.000000,0.000000
140,676132626,20.516646,288,0,0,30.058,1.875745,0.003000,4.658444,0.000000,0.000000,0.000000
141,2407861012,25.659924,288,0,0,30.349,1.870745,0.003000,4.218353,0.000000,0.000000,0.000000
142,2365206492,27.236547,288,0,0,30.183,1.865745,0.003000,4.351463,0.000000,0.000000,0.000000
143,177407549,17.641276,288,1,0,30.284,1.860858,0.003000,3.905515,0.000227,0.000000,0.000000
144,2858793293,15.235095,288,5,0,30.106,1.858832,0.003000,6.091649,0.005947,0.000000,0.000000
145,2659662260,16.025090,288,18,0,30.222,1.871694,0.003000,4.271902,0.035723,0.000000,0.000000
146,3977544260,17.458493,288,0,0,30.409,1.866694,0.003000,6.250085,0.000000,0.000000,0.000000
147,2422873849,25.047186,288,6,0,29.824,1.867540,0.003000,6.279880,0.011693,0.000000,0.000000
148,2408288853,24.333473,288,5,0,30.050,1.867525,0.003000,6.437849,0.009970,0.000000,0.000000
149,4130329062,28.234312,288,8,0,30.070,1.866767,0.003000,4.233908,0.008484,0.000000,0.000000
150,139377641,23.905626,288,2,0,30.318,1.862628,0.003000,9.037233,0.001722,0.000000,0.000000
151,3201818838,29.414376,288,6,0,30.298,1.858899,0.003000,6.350869,0.002541,0.000000,0.000000
152,2129807609,14.087527,288,1,0,30.318,1.853988,0.003000,7.692698,0.000179,0.000000,0.000000
153,3625973832,29.457642,288,1,0,30.273,1.849076,0.003000,9.367639,0.000176,0.000000,0.000000
154,3129113941,28.108440,288,6,0,30.328,1.853537,0.003000,8.624661,0.018922,0.000000,0.000000
155,624002714,31.142487,288,8,0,30.191,1.858467,0.003000,9.646638,0.019860,0.000000,0.000000
156,956416699,12.624947,288,0,0,30.212,1.853467,0.003000,11.169781,0.000000,0.000000,0.000000
157,3596426223,7.430673,288,7,0,30.452,1.860553,0.003000,9.051830,0.024172,0.000000,0.000000
158,1680815200,14.922156,288,17,0,30.561,1.893321,0.003000,9.320623,0.075536,0.000000,0.000000
159,4217273299,14.938856,288,0,0,30.293,1.888321,0.003000,11.047132,0.000000,0.000000,0.000000
160,823039321,13.719794,288,8,0,30.171,1.899395,0.003000,11.064661,0.032148,0.000000,0.000000
161,1049951633,31.284412,288,0,0,30.470,1.894395,0.003000,14.112769,0.000000,0.000000,0.000000
162,1740337869,30.324707,288,7,0,30.531,1.902438,0.003000,10.186618,0.026086,0.000000,0.000000
163,2742485735,25.840432,288,8,0,30.225,1.917797,0.003000,17.494894,0.040719,0.000000,0.000000
164,1265783351,29.309451,288,6,0,30.006,1.918267,0.003000,13.948002,0.010939,0.000000,0.000000
165,3311088081,35.613048,288,2,0,30.080,1.914958,0.003000,15.945758,0.003382,0.000000,0.000000
166,2841970300,32.122617,288,6,0,29.895,1.911691,0.003000,15.027378,0.003466,0.000000,0.000000
167,770837980,25.341268,288,10,0,30.090,1.919958,0.003000,16.196585,0.026534,0.000000,0.000000
168,579270104,19.887346,288,0,0,30.279,1.914997,0.003000,19.369089,0.000079,0.000000,0.000000
169,2540491041,29.194196,288,9,0,30.115,1.913958,0.003000,21.259964,0.007921,0.000000,0.000000
170,3539477186,32.604667,288,0,0,30.072,1.908958,0.003000,16.879087,0.000000,0.000000,0.000000
171,3425284843,23.688754,288,5,0,30.160,1.910236,0.003000,20.103582,0.012557,0.000000,0.000000
172,3126012942,30.671369,288,12,0,30.328,1.919684,0.003000,22.159679,0.028896,0.000000,0.000000
173,587724106,26.421937,288,18,0,30.451,1.934740,0.003000,23.364199,0.040111,0.000000,0.000000
174,2463822035,27.845627,288,0,0,30.363,1.929740,0.003000,26.937752,0.000000,0.000000,0.000000
175,3086837828,13.573799,288,5,0,30.024,1.927460,0.003000,28.784897,0.005441,0.000000,0.000000
176,1513026385,15.143167,288,1,0,30.421,1.922631,0.003000,24.808723,0.000341,0.000000,0.000000
177,1049834190,23.319503,288,13,0,30.601,1.924778,0.003000,17.192217,0.014294,0.000000,0.000000
178,1507332009,8.626643,288,2,0,30.205,1.920274,0.003000,28.873356,0.000993,0.000000,0.000000
179,3781422205,9.794938,288,16,0,29.631,1.959843,0.003000,25.913311,0.089136,0.000000,0.000000
180,2056301529,13.561946,288,1,0,29.991,1.954937,0.003000,28.532776,0.000188,0.000000,0.000000
181,2228047868,16.125744,288,8,0,30.274,1.966736,0.003000,34.785915,0.033598,0.000000,0.000000
182,4156022724,19.433830,288,16,0,30.047,2.005328,0.003000,30.656008,0.087184,0.000000,0.000000
183,526311471,20.684200,288,1,0,30.593,2.000671,0.003000,28.617699,0.000686,0.000000,0.000000
184,928050630,11.213915,288,1,0,30.647,1.996100,0.003000,28.721146,0.000857,0.000000,0.000000
185,1219888813,30.245781,288,0,0,29.925,1.991100,0.003000,30.284275,0.000000,0.000000,0.000000
186,3397575106,6.581606,288,0,0,30.276,1.986100,0.003000,37.191360,0.000000,0.000000,0.000000
187,3175966992,17.901887,288,0,0,30.415,1.981100,0.003000,31.903669,0.000000,0.000000,0.000000
188,3144866166,26.261499,288,4,0,30.468,1.977458,0.003000,39.881565,0.002716,0.000000,0.000000
189,2398288851,22.036474,288,5,0,30.646,1.977557,0.003000,50.610310,0.010199,0.000000,0.000000
190,1047266355,10.439096,288,2,0,30.211,1.972997,0.003000,43.528198,0.000880,0.000000,0.000000
191,87088910,9.447945,288,0,0,30.365,1.967997,0.003000,42.427818,0.000000,0.000000,0.000000
192,453043668,17.763282,288,2,0,30.328,1.963273,0.003000,50.734001,0.000552,0.000000,0.000000
193,1825710091,12.737129,288,2,0,30.750,1.959805,0.003000,42.012180,0.003064,0.000000,0.000000
194,3089175599,22.660563,288,0,0,30.673,1.954805,0.003000,51.399712,0.000000,0.000000,0.000000
195,313479127,27.341006,288,0,0,30.621,1.949805,0.003000,54.656689,0.000000,0.000000,0.000000
196,2586048157,25.182513,288,0,0,30.737,1.944805,0.003000,54.654869,0.000000,0.000000,0.000000
197,3148461728,16.111007,288,0,0,30.728,1.939805,0.003000,40.524075,0.000000,0.000000,0.000000
198,2749856878,24.868737,288,0,0,30.571,1.934805,0.003000,53.859768,0.000000,0.000000,0.000000
199,12820720,25.404308,288,8,0,30.368,1.942712,0.003000,51.946716,0.025814,0.000000,0.000000
